COUNTY,County_Code,No-All_Courts,No_MC_Courts,Distance_to_Court,Populations,Filed - Criminal,Filed Civil,All Filed,Resolved - Criminal,Resolved Civil,All Resolved,Pending - Criminal,Pending Civil,All Pending
Baringo,30,4,3,42.7,666763,1639,229,1868,1430,177,1607,1136,289,1425
Bomet,36,3,2,20.3,875689,4230,976,5206,3832,720,4552,2764,1993,4757
Bungoma,39,9,5,40.8,1670570,5667,3134,8801,5119,2096,7215,6572,6113,12685
Busia,40,4,1,26.7,893681,3149,1854,5003,2441,1558,3999,5518,5073,10591
Embu,14,5,3,25,608599,3559,2014,5573,3834,3027,6861,2679,2641,5320
Garissa,7,13,4,107,841353,2230,1204,3434,2065,933,2998,2011,1561,3572
Homa bay,43,8,5,22.2,1131950,3687,2741,6428,3380,2020,5400,5229,4331,9560
Isiolo,11,7,3,241,268002,1230,770,2000,939,717,1656,1500,297,1797
Kajiado,34,6,3,5.4,1117840,7637,2397,10034,5951,2114,8065,7199,4928,12127
Kakamega,37,7,4,41,1867579,6341,3733,10074,5367,3963,9330,6126,10728,16854
Keiyo-Marakwet,28,2,1,40.9,454480,1377,258,1635,1438,270,1708,372,161,533
Kericho,35,5,1,22.1,901777,5181,1234,6415,4779,1229,6008,4610,3218,7828
Kiambu,22,9,6,16,2417735,16124,8265,24389,14525,8099,22624,14343,17107,31450
Kilifi,3,7,2,51.7,1453787,3198,2903,6101,2523,2458,4981,6801,3732,10533
Kirinyaga,20,7,5,30,610411,4941,2655,7596,4510,2363,6873,6075,7834,13909
Kisii,45,4,2,16.2,1266860,6356,2887,9243,5748,2816,8564,7128,7125,14253
Kisumu,42,10,5,29.3,1155574,7199,5766,12965,6379,5393,11772,16578,13836,30414
Kitui,15,9,5,18.1,1136187,4242,1994,6236,3960,1789,5749,4290,3978,8268
Kwale,2,5,2,26.1,866820,1443,1886,3329,1275,1120,2395,2370,3639,6009
Laikipia,31,4,2,100,518560,6352,1972,8324,5350,1280,6630,7635,5077,12712
Lamu,5,6,3,67,143920,864,359,1223,833,246,1079,396,416,812
Machakos,16,8,4,47.7,1421932,10146,5895,16041,8816,5379,14195,12848,12728,25576
Makueni,17,6,4,52.4,987653,4810,2451,7261,3856,1773,5629,4584,4518,9102
Mandera,9,4,1,248,867457,625,485,1110,627,451,1078,253,148,401
Marsabit,10,6,3,233,459785,1280,452,1732,1214,423,1637,763,375,1138
Meru,12,9,5,2.5,1545714,8993,3688,12681,9392,4194,13586,9199,8653,17852
Migori,44,6,3,19.9,1116436,3640,2004,5644,2855,3857,6712,3675,4360,8035
Mombasa,1,11,5,13,1208333,10573,7066,17639,9743,8464,18207,29634,44509,74143
Murang'a,21,7,4,33.7,1056640,6538,3550,10088,6716,3650,10366,10157,10179,20336
Nairobi,47,24,7,15.4,4397073,44162,38980,83142,40015,45062,85077,31587,95115,126702
Nakuru,32,8,3,31.5,2162202,18910,6870,25780,15668,6218,21886,26674,33765,60439
Nandi,29,3,2,34.2,885711,3442,1150,4592,3074,799,3873,2044,1350,3394
Narok,33,4,1,101,1157873,3079,678,3757,2186,506,2692,2564,2728,5292
Nyamira,46,5,3,16.2,605576,5293,1548,6841,4711,1139,5850,3441,1997,5438
Nyandarua,18,3,1,31.4,638289,4200,773,4973,4407,1111,5518,748,568,1316
Nyeri,19,9,4,14.7,759164,5366,3065,8431,4739,2620,7359,3995,10865,14860
Samburu,25,2,2,182,310327,512,100,612,528,82,610,143,91,234
Siaya,41,5,3,28,993183,3588,2548,6136,3305,1803,5108,2988,3502,6490
Taita Taveta,6,5,3,17.4,340671,3448,737,4185,3130,938,4068,3152,983,4135
Tana River,4,7,3,95,315943,999,552,1551,923,530,1453,1150,374,1524
Tharaka,13,4,2,27.4,393177,1986,956,2942,2106,750,2856,1840,1872,3712
Trans Nzoia,27,4,1,29.6,990341,6264,1425,7689,5827,1779,7606,10563,2756,13319
Turkana,23,6,4,144,926976,1568,720,2288,1510,423,1933,1872,668,2540
Uasin Gishu,26,5,1,44.7,1163186,6257,4368,10625,6163,3828,9991,11385,8336,19721
Vihiga,38,6,2,18.6,590013,2280,1313,3593,1802,657,2459,3419,2116,5535
Wajir,8,5,1,237,781263,1015,548,1563,900,505,1405,1043,417,1460
West Pokot,24,2,1,119,621241,1585,180,1765,1524,84,1608,2472,458,2930
